City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
82,Paciran,ID,-6.88,112.38,78.93,80,69,5.77,light rain
83,Goderich,CA,43.75,-81.72,53.01,80,100,1.99,light rain
84,Shenjiamen,CN,29.96,122.3,66.27,62,100,11.74,light rain
85,Adrar,MR,20.5,-10.07,91.26,18,1,9.08,clear sky
86,Necochea,AR,-38.55,-58.74,66.0,65,54,3.0,light rain
87,Ossora,RU,59.24,163.07,34.92,84,97,7.0,overcast clouds
88,Tiznit,MA,29.58,-9.5,70.77,33,100,4.43,overcast clouds
89,Cairns,AU,-16.92,145.77,68.0,88,14,4.43,few clouds
90,Hilo,US,19.73,-155.09,77.0,83,90,9.17,light rain
91,Geraldton,AU,-28.77,114.6,57.2,93,90,5.82,overcast clouds
92,Havre-Saint-Pierre,CA,50.23,-63.6,44.6,56,1,5.82,clear sky
93,Belaya Gora,RU,68.53,146.42,20.12,97,99,9.33,light snow
94,Opelousas,US,30.53,-92.08,82.99,61,90,5.82,overcast clouds
95,Biak,ID,-0.91,122.88,76.03,81,92,5.12,overcast clouds
96,Lucea,JM,18.45,-78.17,80.6,83,40,8.05,scattered clouds
97,Hami,CN,42.8,93.45,45.88,47,94,2.91,overcast clouds
98,Barrow,US,71.29,-156.79,21.2,79,1,16.11,clear sky
99,Kodiak,US,57.79,-152.41,44.6,75,90,6.93,light rain
100,Nikolskoye,RU,59.7,30.79,37.4,86,90,6.71,overcast clouds
101,Mehamn,NO,71.04,27.85,24.8,92,76,6.93,broken clouds
102,Green River,US,41.53,-109.47,62.6,29,40,21.92,scattered clouds
103,Det Udom,TH,14.91,105.08,73.4,100,90,3.36,overcast clouds
104,Walvis Bay,NA,-22.96,14.51,60.01,82,0,3.36,clear sky
105,Greytown,ZA,-29.06,30.59,63.27,88,87,4.85,overcast clouds
106,Flinders,AU,-34.58,150.86,59.0,82,95,1.01,overcast clouds
107,Abay,KZ,49.63,72.85,14.0,85,0,4.47,clear sky
108,Dunedin,NZ,-45.87,170.5,51.01,89,100,2.04,overcast clouds
109,Ilulissat,GL,69.22,-51.1,42.8,45,100,17.22,overcast clouds
110,Baijiantan,CN,45.63,85.18,60.76,31,82,14.45,broken clouds
111,Aklavik,CA,68.22,-135.01,12.2,85,5,3.36,clear sky
112,Vardo,NO,70.37,31.11,39.2,64,40,13.87,scattered clouds
113,Shahr-E Kord,IR,32.33,50.86,37.44,67,0,1.57,clear sky
114,Ancud,CL,-41.87,-73.82,53.01,81,75,11.41,shower rain
115,Punta Arenas,CL,-53.15,-70.92,48.2,57,40,23.04,scattered clouds
