City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Salamiyah,35.01,37.05,61.93,82,0,5.7,SY,2020-10-14 19:55:40
70,Ribeira Grande,38.52,-28.7,69.8,83,20,5.82,PT,2020-10-14 19:54:52
71,Albany,42.6,-73.97,66.99,36,1,7.96,US,2020-10-14 19:53:33
72,Saldanha,-33.01,17.94,60.8,48,0,4.7,ZA,2020-10-14 19:55:40
73,Ancud,-41.87,-73.82,59.0,44,0,8.05,CL,2020-10-14 19:55:40
74,Cape Town,-33.93,18.42,60.01,87,0,5.82,ZA,2020-10-14 19:54:59
75,Kapaa,22.08,-159.32,81.0,74,1,3.38,US,2020-10-14 19:54:36
76,Thompson,55.74,-97.86,32.0,90,90,17.22,CA,2020-10-14 19:54:52
77,Bambous Virieux,-20.34,57.76,73.99,83,20,5.82,MU,2020-10-14 19:55:41
78,Alofi,-19.06,-169.92,75.2,60,100,9.17,NU,2020-10-14 19:55:41
79,Saint-Philippe,-21.36,55.77,75.2,83,90,1.12,RE,2020-10-14 19:55:41
80,Ushuaia,-54.8,-68.3,48.2,57,40,12.75,AR,2020-10-14 19:54:52
81,Kaitangata,-46.28,169.85,43.0,81,1,5.01,NZ,2020-10-14 19:55:41
82,Coquimbo,-29.95,-71.34,62.6,63,8,11.41,CL,2020-10-14 19:55:21
83,Dwarka,22.24,68.97,87.73,40,51,8.39,IN,2020-10-14 19:55:41
84,Touros,-5.2,-35.46,82.4,69,75,14.99,BR,2020-10-14 19:54:02
85,Trat,12.5,102.5,79.0,10,100,1.52,TH,2020-10-14 19:55:41
86,Pangnirtung,66.15,-65.71,37.4,51,75,14.99,CA,2020-10-14 19:55:41
87,Lashio,22.93,97.75,64.4,96,0,1.21,MM,2020-10-14 19:55:42
88,Arraial Do Cabo,-22.97,-42.03,78.8,74,47,8.05,BR,2020-10-14 19:52:02
89,Taoudenni,22.68,-3.98,93.79,16,0,4.5,ML,2020-10-14 19:55:42
90,Fairbanks,64.84,-147.72,24.01,79,75,1.79,US,2020-10-14 19:52:16
91,Nome,64.5,-165.41,26.6,68,75,4.7,US,2020-10-14 19:55:42
92,Carnarvon,-24.87,113.63,66.2,82,0,18.34,AU,2020-10-14 19:55:42
93,Sevsk,52.15,34.49,53.62,61,31,8.1,RU,2020-10-14 19:55:42
94,Hanchuan,30.65,113.77,57.2,100,90,6.71,CN,2020-10-14 19:56:47
95,Cooma,-36.23,149.13,46.4,100,90,6.93,AU,2020-10-14 19:56:47
96,Hambantota,6.12,81.12,79.84,78,72,19.04,LK,2020-10-14 19:56:47
97,Udachnyy,66.42,112.4,17.6,92,90,4.47,RU,2020-10-14 19:56:47
98,Brae,60.4,-1.35,44.6,75,100,10.29,GB,2020-10-14 19:56:47
99,Cabo San Lucas,22.89,-109.91,89.01,70,40,12.75,MX,2020-10-14 19:52:54
100,Chuy,-33.7,-53.46,63.16,77,3,7.52,UY,2020-10-14 19:56:48
101,Kavieng,-2.57,150.8,80.73,77,15,4.72,PG,2020-10-14 19:56:48
102,Presidente Olegario,-18.42,-46.42,86.83,37,75,6.24,BR,2020-10-14 19:56:48
103,Parana,-31.73,-60.52,86.0,23,0,4.0,AR,2020-10-14 19:56:48
104,Cidreira,-30.18,-50.21,64.17,73,30,9.75,BR,2020-10-14 19:55:45
105,Port Elizabeth,-33.92,25.57,60.8,87,0,12.75,ZA,2020-10-14 19:56:48
106,Santa Maria Del Oro,25.93,-105.37,79.84,32,22,3.06,MX,2020-10-14 19:56:48
107,Bluefield,37.27,-81.22,69.8,28,1,9.17,US,2020-10-14 19:56:48
108,Sitka,57.05,-135.33,46.4,87,75,2.93,US,2020-10-14 19:56:49
109,Marathon,44.9,-89.77,53.6,50,90,10.29,US,2020-10-14 19:56:49
110,Ilhabela,-23.78,-45.36,74.48,79,37,3.24,BR,2020-10-14 19:56:49
111,Katangli,51.71,143.23,30.04,94,88,9.8,RU,2020-10-14 19:56:49
112,Tura,25.52,90.22,73.35,94,68,2.42,IN,2020-10-14 19:55:42
113,Guamo,4.03,-74.97,92.01,37,10,2.35,CO,2020-10-14 19:56:49
114,Sarahan,31.52,77.8,51.62,45,0,3.18,IN,2020-10-14 19:56:49
115,Porbandar,21.64,69.61,85.55,39,100,8.68,IN,2020-10-14 19:56:49
116,Airai,-8.93,125.41,61.0,65,88,2.24,TL,2020-10-14 19:56:49
117,Rurrenabaque,-14.44,-67.53,91.4,59,81,4.7,BO,2020-10-14 19:56:49
118,Katsuura,35.13,140.3,66.2,72,75,12.75,JP,2020-10-14 19:56:50
