City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
82,Albany,US,42.6,-73.97,57.0,39,91,3.0,overcast clouds
83,Georgetown,MY,5.41,100.34,84.0,88,20,6.15,few clouds
84,Upernavik,GL,72.79,-56.15,33.82,90,34,6.29,scattered clouds
85,San Luis,AR,-33.3,-66.34,92.55,24,0,8.48,clear sky
86,New Norfolk,AU,-42.78,147.06,46.0,77,81,1.01,broken clouds
87,Laukaa,RU,58.74,29.85,39.78,92,100,8.52,light rain
88,Belaya Gora,RU,68.53,146.42,20.84,97,99,10.54,light snow
89,Angoche,MZ,-16.23,39.91,75.09,75,2,9.57,clear sky
90,Port Hedland,AU,-20.32,118.57,73.4,78,0,12.75,clear sky
91,Witu,KE,-2.39,40.44,80.6,74,1,5.82,clear sky
92,Ganzhou,CN,28.82,115.43,59.2,86,100,2.33,overcast clouds
93,Amapa,BR,1.0,-52.0,92.98,40,30,3.71,scattered clouds
94,Hithadhoo,MV,-0.6,73.08,83.7,77,100,17.36,overcast clouds
95,Crotone,IT,39.09,17.12,59.0,87,40,6.93,shower rain
96,Ponta Do Sol,PT,32.67,-17.1,71.6,88,75,20.8,broken clouds
97,Damghan,IR,36.17,54.35,58.28,28,0,0.92,clear sky
98,Saint-Francois,FR,46.42,3.91,57.2,47,80,3.36,broken clouds
99,Orodara,BF,10.95,-4.93,87.8,70,20,6.93,few clouds
100,Astara,AZ,38.5,48.67,64.4,93,0,3.36,clear sky
101,Lompoc,US,34.64,-120.46,57.2,67,1,4.92,clear sky
102,Muli,MV,2.92,73.57,82.67,79,28,13.89,scattered clouds
103,Yumen,CN,40.28,97.2,45.63,41,52,14.09,broken clouds
104,Mecca,SA,21.43,39.83,81.19,34,0,3.62,clear sky
105,Road Town,VG,18.42,-64.62,86.0,70,40,4.7,scattered clouds
106,Nikolskoye,RU,59.7,30.79,36.0,93,90,4.47,light intensity shower rain
107,Kudahuvadhoo,MV,2.67,72.89,83.12,79,39,15.03,scattered clouds
108,Rawson,AR,-43.3,-65.1,68.59,24,0,15.61,clear sky
109,Tucuman,AR,-26.82,-65.22,100.4,33,0,6.93,clear sky
110,Vaxjo,SE,56.88,14.81,42.8,56,0,8.05,clear sky
111,Isabela,PH,6.71,121.97,78.8,88,75,2.24,broken clouds
112,Vilyuysk,RU,63.76,121.62,9.54,94,35,3.13,scattered clouds
113,Paciran,ID,-6.88,112.38,80.29,76,54,6.33,broken clouds
114,Cape Town,ZA,-33.93,18.42,66.0,67,20,16.11,few clouds
115,Clyde River,CA,70.47,-68.59,21.2,85,1,3.36,clear sky
116,Chikwawa,MW,-16.03,34.8,86.2,20,11,3.36,few clouds
117,Victoria,HK,22.29,114.16,75.0,81,68,1.01,broken clouds
118,Atuona,PF,-9.8,-139.03,77.59,77,22,20.67,few clouds
119,Lebu,CL,-37.62,-73.65,55.18,62,0,6.82,clear sky
120,Ossora,RU,59.24,163.07,35.69,82,100,8.01,overcast clouds
121,Creemore,CA,44.33,-80.11,48.2,87,90,10.29,moderate rain
122,Ryotsu,JP,38.08,138.43,59.16,69,11,4.18,few clouds
123,Beyneu,KZ,45.32,55.2,63.19,26,0,13.24,clear sky
124,Hambantota,LK,6.12,81.12,82.4,74,59,9.17,broken clouds
125,Tuktoyaktuk,CA,69.45,-133.04,12.2,92,20,3.36,few clouds
126,Sola,VU,-13.88,167.55,80.6,88,40,11.41,scattered clouds
127,Hilo,US,19.73,-155.09,72.0,73,75,6.93,broken clouds
128,Kavaratti,IN,10.57,72.64,81.54,77,1,10.31,clear sky
129,Maryborough,AU,-25.53,152.7,64.67,94,43,1.7,scattered clouds
130,Salinopolis,BR,-0.61,-47.36,85.51,64,64,11.59,broken clouds
131,Humaita,BR,-7.51,-63.02,103.03,34,92,1.86,overcast clouds
132,Kavieng,PG,-2.57,150.8,82.2,75,10,10.51,clear sky
133,Voka,EE,59.4,27.58,42.44,77,100,12.91,light rain
134,Hamilton,US,39.18,-84.53,51.01,87,90,5.82,overcast clouds
135,Fort-Shevchenko,KZ,44.51,50.26,63.57,51,0,10.31,clear sky
136,Crateus,BR,-5.18,-40.68,101.1,20,60,7.45,broken clouds
137,Senanga,ZM,-16.12,23.27,91.8,11,0,7.27,clear sky
138,Cayenne,GF,4.93,-52.33,91.4,52,20,9.17,few clouds
139,Olafsvik,IS,64.89,-23.71,39.81,74,73,26.93,broken clouds
140,Tiksi,RU,71.69,128.87,18.66,96,100,18.21,light snow
141,Denpasar,ID,-8.65,115.22,80.6,83,75,4.7,broken clouds
142,Camara De Lobos,PT,32.63,-16.97,71.6,88,75,20.8,light rain
143,Mitsamiouli,KM,-11.38,43.28,79.07,73,16,3.85,few clouds
144,Exeter,GB,50.72,-3.53,55.0,82,78,6.35,broken clouds
145,Bay Roberts,CA,47.6,-53.26,64.99,66,28,4.41,scattered clouds
146,Coahuayana,MX,18.73,-103.68,78.8,78,40,2.21,scattered clouds
147,Ancud,CL,-41.87,-73.82,55.99,71,75,19.46,broken clouds
148,Grindavik,IS,63.84,-22.43,44.6,81,75,17.22,shower rain
149,Khed Brahma,IN,24.03,73.05,84.63,61,27,1.05,light rain
150,Byron Bay,AU,-28.65,153.62,64.4,93,90,6.93,moderate rain
151,Rundu,NA,-17.93,19.77,94.93,9,0,8.95,clear sky
152,Neiafu,TO,-18.65,-173.98,69.8,88,40,14.12,scattered clouds
153,Baykit,RU,61.67,96.37,27.73,93,87,7.94,overcast clouds
154,Jalu,LY,29.03,21.55,87.62,17,0,5.79,clear sky
155,Oktyabrskiy,RU,54.48,53.47,47.12,52,100,16.49,light rain
156,East London,ZA,-33.02,27.91,64.4,68,37,12.75,scattered clouds
157,Vila,PT,42.03,-8.16,68.0,49,88,1.99,overcast clouds
158,Bahia De Caraquez,EC,-0.6,-80.42,80.6,69,90,6.93,overcast clouds
159,Dikson,RU,73.51,80.55,24.19,91,43,28.54,scattered clouds
160,Avarua,CK,-21.21,-159.78,69.8,88,61,5.82,broken clouds
161,Husavik,IS,66.04,-17.34,42.8,81,90,13.87,overcast clouds
162,Pacific Grove,US,36.62,-121.92,62.6,55,1,3.24,clear sky
163,Linguere,SN,15.4,-15.12,106.2,11,0,11.72,clear sky
164,Katsuura,JP,35.13,140.3,57.2,82,40,8.05,scattered clouds
165,Nanortalik,GL,60.14,-45.24,40.69,92,84,4.14,broken clouds
166,Arti,RU,56.42,58.53,36.57,80,99,8.19,overcast clouds
167,Bolobo,CD,-2.17,16.23,78.85,77,99,2.73,overcast clouds
168,Sol-Iletsk,RU,51.16,54.99,52.93,59,38,10.4,scattered clouds
169,Portland,US,45.52,-122.68,57.99,67,90,6.93,overcast clouds
170,Qaanaaq,GL,77.48,-69.36,31.77,92,96,6.55,overcast clouds
171,Cacu,BR,-18.56,-51.13,95.11,30,98,5.68,overcast clouds
172,Saskylakh,RU,71.92,114.08,18.86,97,96,4.99,overcast clouds
173,Alofi,NU,-19.06,-169.92,77.0,94,83,8.05,broken clouds
174,Corsicana,US,32.1,-96.47,79.0,69,75,16.11,broken clouds
175,Castro,BR,-24.79,-50.01,70.56,67,99,6.33,overcast clouds
176,Butaritari,KI,3.07,172.79,81.61,73,68,17.72,broken clouds
177,Leningradskiy,RU,69.38,178.42,21.88,86,0,6.06,clear sky
178,Gorahun,SL,7.47,-11.24,79.92,92,89,3.22,light rain
179,Chokurdakh,RU,70.63,147.92,19.85,98,94,7.54,overcast clouds
180,Nador,MA,35.17,-2.93,71.6,64,20,8.05,few clouds
181,Fairbanks,US,64.84,-147.72,19.99,78,40,1.07,scattered clouds
182,Kontagora,NG,10.4,5.47,83.93,60,0,5.08,clear sky
183,Ketchikan,US,55.34,-131.65,46.4,93,40,3.0,scattered clouds
184,Barcelos,PT,41.54,-8.62,71.6,33,98,2.24,overcast clouds
185,Saint-Philippe,RE,-21.36,55.77,75.2,69,27,11.41,scattered clouds
186,Tautira,PF,-17.73,-149.15,73.4,88,40,1.12,scattered clouds
187,Vanimo,PG,-2.67,141.3,78.24,84,100,3.58,light rain
188,Nyurba,RU,63.28,118.33,14.18,95,0,2.35,clear sky
189,Severodvinsk,RU,64.56,39.83,33.8,87,90,6.71,overcast clouds
190,Ajdabiya,LY,30.76,20.23,74.7,79,99,16.22,overcast clouds
191,Kalabo,ZM,-14.97,22.68,84.96,13,0,6.58,clear sky
192,Alpena,US,45.06,-83.43,43.0,93,90,8.05,light rain
193,Anshun,CN,26.25,105.93,50.97,85,100,6.55,overcast clouds
194,Karata,RU,42.59,46.34,54.28,42,0,3.87,clear sky
195,Segou,ML,13.43,-6.22,98.64,21,61,6.73,broken clouds
196,Essex,US,40.78,-74.22,64.4,48,75,9.17,broken clouds
197,San Cristobal,VE,7.77,-72.22,93.2,36,20,21.92,few clouds
198,The Valley,AI,18.22,-63.06,86.0,79,40,8.05,scattered clouds
