City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
216,Chuy,UY,75.88,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
220,Portland,US,66.2,broken clouds,45.52,-122.68,Portland Marriott City Center
222,Ambulu,ID,75.0,broken clouds,-8.35,113.61,Hotel Ambulu Jember
227,Kampot,KH,77.16,light rain,10.62,104.18,Champa Lodge
228,Benguela,AO,75.49,scattered clouds,-12.58,13.41,Hotel Praia Morena
230,Tamandare,BR,77.09,overcast clouds,-8.76,-35.1,Pousada 100 Passos
232,Paoua,CF,72.23,few clouds,7.24,16.44,Quartier Paoua Elien
236,Panama City,PA,79.0,broken clouds,8.99,-79.52,Trump International Hotel & Tower Panama
239,Byron Bay,AU,62.6,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
244,Bandarbeyla,SO,79.43,clear sky,9.49,50.81,REER XOOSHLE GROUP
248,Ahipara,NZ,61.38,few clouds,-35.17,173.17,Ahipara Holiday Park
249,Pringsewu,ID,73.87,overcast clouds,-5.36,104.97,Urban Style by Front One
254,Castro,BR,69.03,overcast clouds,-24.79,-50.01,CHACARA BAILLY
256,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
260,Sungaipenuh,ID,65.48,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
261,Rio Grande,BR,77.0,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
263,Taitung,TW,76.69,light rain,22.76,121.14,Taitung Bali Suites Hotel
266,Imbituba,BR,71.6,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
267,Dondo,MZ,71.6,clear sky,-19.61,34.74,Arco Iris
274,Vao,NC,70.95,few clouds,-22.67,167.48,Hotel Kou-Bugny
276,Roma,US,61.0,clear sky,43.21,-75.46,Wingate By Wyndham Rome
279,Bengkulu,ID,75.06,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
280,Buchanan,LR,78.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
282,Tura,IN,73.0,clear sky,25.52,90.22,Hotel RIKMAN Continental
283,Lebanon,US,66.0,broken clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
284,Airai,TL,60.22,few clouds,-8.93,125.41,Juvinal Martin
287,Baglung,NP,66.04,light rain,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
289,San Jeronimo,PE,66.85,light rain,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
297,Hamilton,US,61.0,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
299,Morondava,MG,75.67,clear sky,-20.28,44.28,La Case Bambou
303,Rusape,ZW,64.27,few clouds,-18.53,32.13,Surrey Lodge
309,Ibaiti,BR,69.01,light rain,-23.85,-50.19,Hotel Moraes
310,Richards Bay,ZA,72.03,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
312,Shetpe,KZ,60.4,clear sky,44.17,52.12,Rtsm Shetpe Analog
314,Marsa Matruh,EG,71.6,clear sky,31.35,27.25,Beau Site
316,Ban Dung,TH,73.0,light rain,17.7,103.26,Heuan Na Khee
317,Bangolo,CI,73.72,light rain,7.01,-7.47,HÔTEL MATCHÊDÉ
320,Saint-Pierre,RE,69.8,clear sky,-21.34,55.48,Lindsey Hôtel
321,Pisco,PE,66.2,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
322,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
324,Waingapu,ID,79.36,clear sky,-9.66,120.26,Pondok Wisata Elim
338,Auki,SB,79.72,broken clouds,-8.77,160.7,Auki Motel
342,Ambon,ID,79.0,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
346,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
356,Matara,LK,77.95,overcast clouds,5.95,80.54,Amaloh Boutique Resort
359,Vila Velha,BR,69.8,light rain,-20.33,-40.29,Hotel Vitória Palace
362,Pozzallo,IT,63.0,overcast clouds,36.73,14.85,Mare Nostrum Petit Hôtel
365,Jambi,ID,74.52,overcast clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
366,Faanui,PF,79.45,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
368,Non Sang,TH,69.8,overcast clouds,16.87,102.57,ดวงใจ หวาน หวาน
371,Corinto,GR,66.0,clear sky,37.94,22.96,Ephira Hotel
374,Jalu,LY,79.92,overcast clouds,29.03,21.55,Jalu Hotel
375,Hualmay,PE,66.36,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
377,Shingu,JP,61.47,overcast clouds,33.73,135.98,Shingu UI Hotel
382,Alyangula,AU,68.0,few clouds,-13.85,136.42,Groote Eylandt Lodge
383,Lastoursville,GA,73.63,moderate rain,-0.81,12.73,Auberge Bon Coin 02
384,Huarmey,PE,69.51,few clouds,-10.07,-78.15,Hotel Miramar
385,Pemba,MZ,77.0,scattered clouds,-12.97,40.52,Guesthouse Samotina
386,Alexander City,US,75.2,clear sky,32.94,-85.95,Hampton Inn Alexander City
387,Puerto Suarez,BO,73.4,heavy intensity rain,-18.95,-57.8,Hotel casa real
390,Ayame,CI,74.55,overcast clouds,5.61,-3.16,Hotel Bossan
392,Yeppoon,AU,64.4,clear sky,-23.13,150.73,Villa Mar Colina
393,Lima,PE,69.8,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
394,Vanimo,PG,78.22,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
395,Gushikawa,JP,73.4,clear sky,26.35,127.87,Kirari Guest House
400,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
404,Rawson,AR,71.85,scattered clouds,-43.3,-65.1,Hotel Punta León
405,Erie,US,61.0,overcast clouds,42.77,-78.67,Roycroft Inn
407,Namibe,AO,69.46,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
409,Dicabisagan,PH,77.2,scattered clouds,17.08,122.42,Nancy Montanes Bernardo
410,Shush,IR,65.19,clear sky,32.19,48.24,Mosque Zaman (AS) Cultural promised -Kanvn
412,Inhambane,MZ,73.4,few clouds,-23.86,35.38,Oceano
